periodType,currencyCode,AccountsReceivable,BasicEPS,CashAndCashEquivalents,CashFlowsfromusedinOperatingActivitiesDirect,EBIT,EnterpriseValue,FreeCashFlow,GrossProfit,InvestedCapital,MarketCap,RetainedEarnings,TotalLiabilitiesNetMinorityInterest,month,year,symbol,open,high,low,close,volume,adjclose,dividends
3M,BRL,110513000.0,1.39345,0.0,45906000.0,66825000.0,1478997547.0,45906000.0,64603000.0,2652676000.0,1538622547.0,377650000.0,603482000.0,3,2024,BRCR11.SA,59.79999923706055,60.70000076293945,58.5099983215332,59.08000183105469,187077,49.13452911376953,0.41
3M,BRL,110513000.0,1.39345,0.0,45906000.0,66825000.0,1478997547.0,45906000.0,64603000.0,2652676000.0,1538622547.0,377650000.0,603482000.0,3,2024,BRCR11.SA,59.08000183105469,59.130001068115234,58.040000915527344,58.220001220703125,101961,48.7525520324707,0.0
3M,BRL,110513000.0,1.39345,0.0,45906000.0,66825000.0,1478997547.0,45906000.0,64603000.0,2652676000.0,1538622547.0,377650000.0,603482000.0,3,2024,BRCR11.SA,59.4900016784668,59.54999923706055,57.5,57.70000076293945,125501,48.31711196899414,0.0
3M,BRL,110513000.0,1.39345,0.0,45906000.0,66825000.0,1478997547.0,45906000.0,64603000.0,2652676000.0,1538622547.0,377650000.0,603482000.0,3,2024,BRCR11.SA,57.70000076293945,58.4900016784668,56.02000045776367,57.7599983215332,180352,48.36735534667969,0.0
3M,BRL,115108000.0,0.0,0.0,25229000.0,12857000.0,984786066.0,25229000.0,32211000.0,2361806000.0,1359081066.0,315513000.0,347875000.0,6,2024,BRCR11.SA,55.279998779296875,55.900001525878906,54.0,54.86000061035156,168360,46.76578140258789,0.0
3M,BRL,115108000.0,0.0,0.0,25229000.0,12857000.0,984786066.0,25229000.0,32211000.0,2361806000.0,1359081066.0,315513000.0,347875000.0,6,2024,BRCR11.SA,54.0,54.209999084472656,52.5,52.93000030517578,117072,45.12053680419922,0.5
3M,BRL,115108000.0,0.0,0.0,25229000.0,12857000.0,984786066.0,25229000.0,32211000.0,2361806000.0,1359081066.0,315513000.0,347875000.0,6,2024,BRCR11.SA,52.93000030517578,52.959999084472656,50.54999923706055,50.54999923706055,191747,43.4880485534668,0.0
3M,BRL,115108000.0,0.0,0.0,25229000.0,12857000.0,984786066.0,25229000.0,32211000.0,2361806000.0,1359081066.0,315513000.0,347875000.0,6,2024,BRCR11.SA,50.560001373291016,51.650001525878906,50.0,51.02000045776367,184675,43.89238357543945,0.0
3M,BRL,126535000.0,0.0,0.0,20704000.0,35537000.0,1228716763.0,20704000.0,34031000.0,2375456000.0,1271707763.0,329163000.0,320994000.0,9,2024,BRCR11.SA,50.2599983215332,50.970001220703125,49.54999923706055,49.970001220703125,145619,43.848876953125,0.0
3M,BRL,126535000.0,0.0,0.0,20704000.0,35537000.0,1228716763.0,20704000.0,34031000.0,2375456000.0,1271707763.0,329163000.0,320994000.0,9,2024,BRCR11.SA,49.599998474121094,50.04999923706055,49.0,49.5099983215332,177088,43.445220947265625,0.5
3M,BRL,126535000.0,0.0,0.0,20704000.0,35537000.0,1228716763.0,20704000.0,34031000.0,2375456000.0,1271707763.0,329163000.0,320994000.0,9,2024,BRCR11.SA,49.5099983215332,49.529998779296875,48.0099983215332,48.16999816894531,169601,42.696590423583984,0.0
3M,BRL,126535000.0,0.0,0.0,20704000.0,35537000.0,1228716763.0,20704000.0,34031000.0,2375456000.0,1271707763.0,329163000.0,320994000.0,9,2024,BRCR11.SA,48.16999816894531,48.56999969482422,46.900001525878906,47.650001525878906,143438,42.235679626464844,0.0
3M,BRL,126535000.0,0.0,0.0,20704000.0,35537000.0,1228716763.0,20704000.0,34031000.0,2375456000.0,1271707763.0,329163000.0,320994000.0,9,2024,BRCR11.SA,47.650001525878906,48.459999084472656,44.5,45.5,196651,40.329978942871094,0.0
3M,BRL,15493000.0,0.0,0.0,66566000.0,-4534000.0,1081805675.0,66566000.0,25313000.0,2296023000.0,1107083675.0,247117000.0,330384000.0,12,2024,BRCR11.SA,42.880001068115234,42.9900016784668,40.900001525878906,41.029998779296875,297839,37.197818756103516,0.0
3M,BRL,15493000.0,0.0,0.0,66566000.0,-4534000.0,1081805675.0,66566000.0,25313000.0,2296023000.0,1107083675.0,247117000.0,330384000.0,12,2024,BRCR11.SA,41.150001525878906,41.29999923706055,39.709999084472656,40.13999938964844,202907,36.39094924926758,0.5
3M,BRL,15493000.0,0.0,0.0,66566000.0,-4534000.0,1081805675.0,66566000.0,25313000.0,2296023000.0,1107083675.0,247117000.0,330384000.0,12,2024,BRCR11.SA,40.45000076293945,40.849998474121094,38.5,40.470001220703125,238369,37.14275360107422,0.0
3M,BRL,15493000.0,0.0,0.0,66566000.0,-4534000.0,1081805675.0,66566000.0,25313000.0,2296023000.0,1107083675.0,247117000.0,330384000.0,12,2024,BRCR11.SA,40.459999084472656,41.88999938964844,40.0,41.630001068115234,134610,38.2073860168457,0.0
3M,BRL,15493000.0,0.0,0.0,66566000.0,-4534000.0,1081805675.0,66566000.0,25313000.0,2296023000.0,1107083675.0,247117000.0,330384000.0,12,2024,BRCR11.SA,41.66999816894531,42.0,40.040000915527344,40.779998779296875,127905,37.42726516723633,0.0
3M,BRL,28646000.0,1.081342,4488000.0,30139000.0,37504000.0,1032570080.0,30139000.0,37909000.0,2312844000.0,1065528080.0,263938000.0,309715000.0,3,2025,BRCR11.SA,39.470001220703125,40.279998779296875,39.470001220703125,39.95000076293945,127403,37.572078704833984,0.0
3M,BRL,28646000.0,1.081342,4488000.0,30139000.0,37504000.0,1032570080.0,30139000.0,37909000.0,2312844000.0,1065528080.0,263938000.0,309715000.0,3,2025,BRCR11.SA,39.95000076293945,40.25,39.5,39.84000015258789,177530,37.46862030029297,0.45
3M,BRL,28646000.0,1.081342,4488000.0,30139000.0,37504000.0,1032570080.0,30139000.0,37909000.0,2312844000.0,1065528080.0,263938000.0,309715000.0,3,2025,BRCR11.SA,39.95000076293945,40.31999969482422,39.630001068115234,40.0,187623,38.0444450378418,0.0
