IPCA,INPC,IGPM,PIB,DESEMPREGO,date
,1.76,,,,1979-05-31
,3.0,,,,1979-06-30
,5.36,,,,1979-07-31
,5.79,,,,1979-08-31
,6.61,,,,1979-09-30
,5.06,,,,1979-10-31
,6.1,,,,1979-11-30
,4.51,,,,1979-12-31
,6.56,,,,1980-01-31
4.62,4.15,,,,1980-02-29
6.04,5.12,,,,1980-03-31
5.29,4.85,,,,1980-04-30
5.7,5.53,,,,1980-05-31
5.31,5.52,,,,1980-06-30
5.55,5.51,,,,1980-07-31
4.95,5.15,,,,1980-08-31
4.23,4.45,,,,1980-09-30
9.48,9.65,,,,1980-10-31
6.67,8.03,,,,1980-11-30
6.61,6.8,,,,1980-12-31
6.84,6.21,,,,1981-01-31
6.4,6.05,,,,1981-02-28
4.97,5.35,,,,1981-03-31
6.46,6.54,,,,1981-04-30
5.56,5.51,,,,1981-05-31
5.52,5.07,,,,1981-06-30
6.26,6.2,,,,1981-07-31
5.5,6.12,,,,1981-08-31
5.26,5.28,,,,1981-09-30
5.08,4.62,,,,1981-10-31
5.27,5.23,,,,1981-11-30
5.93,5.69,,,,1981-12-31
6.97,6.71,,,,1982-01-31
6.64,6.58,,,,1982-02-28
5.71,5.24,,,,1982-03-31
5.89,5.65,,,,1982-04-30
6.66,6.66,,,,1982-05-31
7.1,7.14,,,,1982-06-30
6.36,6.39,,,,1982-07-31
5.97,5.57,,,,1982-08-31
5.08,4.3,,,,1982-09-30
4.44,3.91,,,,1982-10-31
5.29,5.26,,,,1982-11-30
7.81,8.19,,,,1982-12-31
8.64,9.14,,,,1983-01-31
7.86,8.04,,,,1983-02-28
7.34,7.22,,,,1983-03-31
6.58,6.57,,,,1983-04-30
6.48,6.71,,,,1983-05-31
9.88,10.83,,,,1983-06-30
10.08,11.43,,,,1983-07-31
9.11,9.85,,,,1983-08-31
10.3,11.27,,,,1983-09-30
8.87,10.1,,,,1983-10-31
7.38,7.37,,,,1983-11-30
8.68,8.34,,,,1983-12-31
9.67,9.39,,,,1984-01-31
9.5,9.74,,,,1984-02-29
8.94,9.83,,,,1984-03-31
9.54,9.52,,,,1984-04-30
9.05,8.71,,,,1984-05-31
10.08,9.96,,,,1984-06-30
9.72,9.11,,,,1984-07-31
9.35,8.57,,,,1984-08-31
11.75,11.1,,,,1984-09-30
10.44,10.49,,,,1984-10-31
10.53,10.33,,,,1984-11-30
11.98,11.62,,,,1984-12-31
11.76,11.84,,,,1985-01-31
10.87,10.95,,,,1985-02-28
10.16,9.94,,,,1985-03-31
8.2,8.58,,,,1985-04-30
7.2,7.2,,,,1985-05-31
8.49,8.33,,,,1985-06-30
10.31,10.08,,,,1985-07-31
12.05,11.61,,,,1985-08-31
11.12,10.09,,,,1985-09-30
10.62,10.25,,,,1985-10-31
13.97,14.18,,,,1985-11-30
15.07,15.75,,,,1985-12-31
14.37,15.01,,,,1986-01-31
12.72,12.46,,,,1986-02-28
4.77,3.18,,,,1986-03-31
0.78,0.43,,,,1986-04-30
1.4,1.08,,,,1986-05-31
1.27,0.97,,,,1986-06-30
1.71,0.91,,,,1986-07-31
3.55,1.43,,,,1986-08-31
1.72,1.19,,,,1986-09-30
1.9,1.43,,,,1986-10-31
5.45,3.29,,,,1986-11-30
11.65,7.27,,,,1986-12-31
13.21,16.82,,,,1987-01-31
12.64,13.94,,,,1987-02-28
16.37,14.4,,,,1987-03-31
19.1,20.96,,,,1987-04-30
21.45,23.14,,,,1987-05-31
19.71,21.3,,,,1987-06-30
9.21,9.93,,,,1987-07-31
4.87,5.09,,,,1987-08-31
7.78,7.15,,,,1987-09-30
11.22,10.88,,,,1987-10-31
15.08,14.93,,,,1987-11-30
14.15,13.97,,,,1987-12-31
18.89,18.97,,,,1988-01-31
15.7,15.81,,,,1988-02-29
17.6,18.09,,,,1988-03-31
19.29,18.33,,,,1988-04-30
17.42,18.24,,,,1988-05-31
22.0,22.28,,,,1988-06-30
21.91,23.02,,,,1988-07-31
21.59,20.63,,,,1988-08-31
27.45,26.93,,,,1988-09-30
25.62,26.69,,,,1988-10-31
27.94,28.15,,,,1988-11-30
28.7,28.43,,,,1988-12-31
37.49,35.48,,,,1989-01-31
16.78,16.35,,,,1989-02-28
6.82,5.9,,,,1989-03-31
8.33,8.06,,,,1989-04-30
17.92,16.67,,,,1989-05-31
28.65,29.4,,,,1989-06-30
27.74,27.4,35.9,,,1989-07-31
33.71,33.18,36.92,,,1989-08-31
37.56,36.35,39.92,,,1989-09-30
39.77,38.76,40.64,,,1989-10-31
47.82,48.47,40.48,,,1989-11-30
51.5,51.28,47.13,,,1989-12-31
67.55,68.19,61.46,,,1990-01-31
75.73,73.99,81.29,0.4,,1990-02-28
82.39,82.18,83.95,0.8,,1990-03-31
15.52,14.67,28.35,0.7,,1990-04-30
7.59,7.31,5.93,0.8,,1990-05-31
11.75,11.64,9.94,0.8,,1990-06-30
12.92,12.62,12.01,0.9,,1990-07-31
12.88,12.18,13.62,1.0,,1990-08-31
14.41,14.26,12.8,1.1,,1990-09-30
14.36,14.43,12.97,1.4,,1990-10-31
16.81,16.92,16.86,1.7,,1990-11-30
18.44,19.14,18.0,1.8,,1990-12-31
20.75,20.95,17.7,2.1,,1991-01-31
20.72,20.2,21.02,2.4,,1991-02-28
11.92,11.79,9.19,2.5,,1991-03-31
4.99,5.01,7.81,3.1,,1991-04-30
7.43,6.68,7.48,3.6,,1991-05-31
11.19,10.83,8.48,4.1,,1991-06-30
12.41,12.14,13.22,4.6,,1991-07-31
15.63,15.62,15.25,5.3,,1991-08-31
15.63,15.62,14.93,5.6,,1991-09-30
20.23,21.08,22.63,7.5,,1991-10-31
25.21,26.48,25.62,9.2,,1991-11-30
23.71,24.15,23.63,10.5,,1991-12-31
25.94,25.92,23.56,13.1,,1992-01-31
24.32,24.48,27.86,16.3,,1992-02-29
21.4,21.62,21.39,19.6,,1992-03-31
19.93,20.84,19.94,23.6,,1992-04-30
24.86,24.5,20.43,30.1,,1992-05-31
20.21,20.85,23.61,37.5,,1992-06-30
21.83,22.08,21.84,46.1,,1992-07-31
22.14,22.38,24.63,56.7,,1992-08-31
24.63,23.98,25.27,70.8,,1992-09-30
25.24,26.07,26.76,89.0,,1992-10-31
22.49,22.89,23.43,110.4,,1992-11-30
25.24,25.58,25.08,127.7,,1992-12-31
