year,month,open_mean,open_var,open_min,open_max,close_mean,close_var,close_min,close_max,dividends_mean,dividends_var,dividends_min,dividends_max,volume_mean,volume_var,volume_min,volume_max,AccountsReceivable,BasicEPS,CashAndCashEquivalents,EBIT,EnterpriseValue,FreeCashFlow,GrossProfit,InvestedCapital,LongTermDebt,MarketCap,NetIncomeFromContinuingOperations,RetainedEarnings,TotalLiabilitiesNetMinorityInterest,high,low,adjclose,symbol
2024,9,33.475999450683595,0.16322988082974932,33.09000015258789,34.13999938964844,33.20799942016602,0.32047060516488346,32.41999816894531,33.959999084472656,0.0866,0.0374978,0.0,0.433,24916900.0,53244730500000.0,18726400.0,36674400.0,8246000.0,0.7,355667000.0,954259000.0,52168594342.0,577686000.0,957845000.0,42854878000.0,16743584000.0,34881315342.0,744481000.0,1711277000.0,18395034000.0,34.02000045776367,33.275001525878906,31.71128845214844,VICI
2024,12,30.579000091552736,3.0160316092686132,28.65999984741211,32.59000015258789,29.993999862670897,1.7196286193091521,28.790000915527344,31.649999618530277,0.0866,0.0374978,0.0,0.433,24816660.0,110868315733000.0,14741900.0,42727500.0,5066000.0,0.58,524615000.0,834773000.0,48148437868.0,643013000.0,969305000.0,43270844000.0,16732889000.0,30856470868.0,624205000.0,1867400000.0,18417139000.0,32.599998474121094,31.424999237060547,30.37710952758789,VICI
2025,3,32.24799995422363,0.18502023933542555,31.649999618530277,32.75,31.8060001373291,0.6264802851881529,30.59000015258789,32.650001525878906,0.0866,0.0374978,0.0,0.433,42156780.0,87282155117000.0,27354700.0,53141400.0,5865000.0,0.51,334317000.0,759060000.0,51593981921.0,591703000.0,977852000.0,43456170000.0,16847001000.0,34468511921.0,552265000.0,1954124000.0,18503399000.0,32.939998626708984,31.770000457763672,31.78182029724121,VICI
2025,6,31.937500476837158,0.22189137179126847,31.450000762939453,32.380001068115234,32.03499937057495,0.14723340377865232,31.46999931335449,32.279998779296875,0.10825,0.04687225,0.0,0.433,27626800.0,11579292726666.666,23569300.0,31823600.0,6940000.0,0.82,232983000.0,1097729000.0,51878611209.0,639227000.0,994715000.0,43946724000.0,16922273000.0,34448652209.0,878368000.0,2362176000.0,18609911000.0,31.90999984741211,31.1200008392334,31.04838752746582,VICI
2024,9,61.81999969482422,2.2305484039316026,59.86000061035156,63.59999847412109,61.99800033569336,1.3941201618974508,60.25,63.27999877929688,0.175,0.15312499999999998,0.0,0.875,4891460.0,3033985893000.0,3768200.0,7875200.0,0.0,0.51,818194000.0,193222000.0,20650650034.0,280170000.0,355288000.0,16552279000.0,7972821000.0,13634169034.0,111652000.0,-3056708000.0,9045630000.0,61.66999816894531,59.72999954223633,57.9571418762207,WPC
2024,12,55.63400039672852,1.8189807238784932,54.09999847412109,57.0,55.305999755859375,1.311831861421524,54.25,57.02000045776367,0.176,0.15488,0.0,0.88,5843520.0,5133306807000.0,3133300.0,9317700.0,0.0,0.21,640373000.0,125693000.0,19077512021.0,296347000.0,361338000.0,16468697000.0,8039002000.0,11922885021.0,47038000.0,-3203974000.0,9100900000.0,57.040000915527344,55.33000183105469,53.44221115112305,WPC
2025,3,63.13399963378906,1.8846249057052786,61.4900016784668,64.83999633789062,62.15400009155273,4.215622929691744,59.150001525878906,64.7699966430664,0.178,0.15842,0.0,0.89,7548180.0,4047308737000.0,4872100.0,10491000.0,0.0,0.57,187809000.0,206252000.0,21218188456.0,273213000.0,364516000.0,16228665000.0,7866302000.0,13819559456.0,125816000.0,-3276497000.0,8940382000.0,65.44999694824219,63.41999816894531,62.93657684326172,WPC
2025,6,63.01249980926514,0.3294907056200222,62.400001525878906,63.66999816894531,63.045000076293945,0.15643394572058827,62.56999969482422,63.400001525878906,0.0,0.0,0.0,0.0,5969700.0,1339896633333.3337,4954900.0,7049600.0,0.0,0.23,244831000.0,136198000.0,21338397281.0,403983000.0,382715000.0,16847849000.0,8635985000.0,13659904281.0,51312000.0,-3424094000.0,9772865000.0,62.65999984741211,61.470001220703125,61.674293518066406,WPC
2024,9,18.5379997253418,0.116420078353985,18.15999984741211,18.920000076293945,18.52599983215332,0.089029928894161,18.170000076293945,18.84000015258789,0.057999999999999996,0.016819999999999998,0.0,0.29,5221720.0,1737361742000.0,3649300.0,7138900.0,2124000.0,0.19,8999000.0,55155000.0,5506376650.0,60255000.0,101383000.0,4944734000.0,1820178000.0,3572207650.0,37268000.0,-467922000.0,2124927000.0,18.71500015258789,18.010000228881836,17.029294967651367,BNL
2024,12,16.689999961853026,0.4702500543597122,15.9399995803833,17.40999984741211,16.399999809265136,0.39464985046397466,15.850000381469728,17.239999771118164,0.057999999999999996,0.016819999999999998,0.0,0.29,5206260.0,8145427723000.0,2716700.0,10064500.0,3281000.0,0.14,14845000.0,47698000.0,4979030360.0,57468000.0,105365000.0,4916870000.0,1913125000.0,2991608360.0,27607000.0,-496543000.0,2074993000.0,17.510000228881836,17.0,16.338342666625977,BNL
