periodType,currencyCode,BasicAverageShares,CostOfRevenue,EBIT,FreeCashFlow,GrossProfit,InvestedCapital,OrdinarySharesNumber,OtherOperatingExpenses,RetainedEarnings,TaxEffectOfUnusualItems,TotalUnusualItems,month,year,symbol,open,high,low,close,volume,adjclose,dividends,splits
3M,USD,1046626838.0,6824000.0,954259000.0,577686000.0,957845000.0,42854878000.0,1047172481.0,19315000.0,1711277000.0,-3835.109018,-1164000.0,9,2024,VICI,33.36000061035156,34.02000045776367,33.275001525878906,33.470001220703125,19857900.0,31.711288452148438,0.0,0.0
3M,USD,1046626838.0,6824000.0,954259000.0,577686000.0,957845000.0,42854878000.0,1047172481.0,19315000.0,1711277000.0,-3835.109018,-1164000.0,9,2024,VICI,33.529998779296875,34.16999816894531,33.18000030517578,33.959999084472656,26975400.0,32.175537109375,0.0,0.0
3M,USD,1046626838.0,6824000.0,954259000.0,577686000.0,957845000.0,42854878000.0,1047172481.0,19315000.0,1711277000.0,-3835.109018,-1164000.0,9,2024,VICI,34.13999938964844,34.290000915527344,32.4900016784668,33.06999969482422,36674400.0,31.332304000854492,0.433,0.0
3M,USD,1046626838.0,6824000.0,954259000.0,577686000.0,957845000.0,42854878000.0,1047172481.0,19315000.0,1711277000.0,-3835.109018,-1164000.0,9,2024,VICI,33.2599983215332,33.474998474121094,32.7599983215332,33.119998931884766,18726400.0,31.787988662719727,0.0,0.0
3M,USD,1046626838.0,6824000.0,954259000.0,577686000.0,957845000.0,42854878000.0,1047172481.0,19315000.0,1711277000.0,-3835.109018,-1164000.0,9,2024,VICI,33.09000015258789,33.45000076293945,32.125,32.41999816894531,22350400.0,31.116140365600586,0.0,0.0
3M,USD,1054993118.0,6747000.0,834773000.0,643013000.0,969305000.0,43270844000.0,1056366685.0,19472000.0,1867400000.0,-11085.950416,-2839000.0,12,2024,VICI,32.59000015258789,32.599998474121094,31.424999237060547,31.649999618530273,22847800.0,30.37710952758789,0.0,0.0
3M,USD,1054993118.0,6747000.0,834773000.0,643013000.0,969305000.0,43270844000.0,1056366685.0,19472000.0,1867400000.0,-11085.950416,-2839000.0,12,2024,VICI,31.665000915527344,31.875,30.8799991607666,31.1299991607666,22090100.0,29.878023147583008,0.0,0.0
3M,USD,1054993118.0,6747000.0,834773000.0,643013000.0,969305000.0,43270844000.0,1056366685.0,19472000.0,1867400000.0,-11085.950416,-2839000.0,12,2024,VICI,31.100000381469727,31.364999771118164,28.219999313354492,28.790000915527344,42727500.0,27.632131576538086,0.433,0.0
3M,USD,1054993118.0,6747000.0,834773000.0,643013000.0,969305000.0,43270844000.0,1056366685.0,19472000.0,1867400000.0,-11085.950416,-2839000.0,12,2024,VICI,28.65999984741211,29.31999969482422,28.610000610351562,28.940000534057617,14741900.0,28.170469284057617,0.0,0.0
3M,USD,1054993118.0,6747000.0,834773000.0,643013000.0,969305000.0,43270844000.0,1056366685.0,19472000.0,1867400000.0,-11085.950416,-2839000.0,12,2024,VICI,28.8799991607666,29.565000534057617,28.55500030517578,29.459999084472656,21676000.0,28.676639556884766,0.0,0.0
3M,USD,1056012414.0,6352000.0,759060000.0,591703000.0,977852000.0,43456170000.0,1056668054.0,19513000.0,1954124000.0,-9450.0,-45000.0,3,2025,VICI,32.4900016784668,32.939998626708984,31.770000457763672,32.650001525878906,41696400.0,31.78182029724121,0.0,0.0
3M,USD,1056012414.0,6352000.0,759060000.0,591703000.0,977852000.0,43456170000.0,1056668054.0,19513000.0,1954124000.0,-9450.0,-45000.0,3,2025,VICI,32.75,34.029998779296875,31.489999771118164,32.25,53141400.0,31.392452239990234,0.0,0.0
3M,USD,1056012414.0,6352000.0,759060000.0,591703000.0,977852000.0,43456170000.0,1056668054.0,19513000.0,1954124000.0,-9450.0,-45000.0,3,2025,VICI,32.349998474121094,32.7599983215332,31.475000381469727,31.530000686645508,44336100.0,30.691598892211914,0.433,0.0
3M,USD,1056012414.0,6352000.0,759060000.0,591703000.0,977852000.0,43456170000.0,1056668054.0,19513000.0,1954124000.0,-9450.0,-45000.0,3,2025,VICI,31.649999618530273,32.349998474121094,31.40999984741211,32.0099983215332,27354700.0,31.581151962280273,0.0,0.0
3M,USD,1056012414.0,6352000.0,759060000.0,591703000.0,977852000.0,43456170000.0,1056668054.0,19513000.0,1954124000.0,-9450.0,-45000.0,3,2025,VICI,32.0,32.880001068115234,30.46500015258789,30.59000015258789,44255300.0,30.180177688598633,0.0,0.0
3M,USD,1056222836.0,6619000.0,1097729000.0,639227000.0,994715000.0,43946724000.0,1056705763.0,19536000.0,2362176000.0,-46794.070132,-7434000.0,6,2025,VICI,31.6200008392334,31.90999984741211,31.1200008392334,31.469999313354492,23569300.0,31.04838752746582,0.0,0.0
3M,USD,1056222836.0,6619000.0,1097729000.0,639227000.0,994715000.0,43946724000.0,1056705763.0,19536000.0,2362176000.0,-46794.070132,-7434000.0,6,2025,VICI,31.450000762939453,32.84000015258789,31.399999618530273,32.119998931884766,28128000.0,31.689678192138672,0.0,0.0
3M,USD,1056222836.0,6619000.0,1097729000.0,639227000.0,994715000.0,43946724000.0,1056705763.0,19536000.0,2362176000.0,-46794.070132,-7434000.0,6,2025,VICI,32.29999923706055,32.68000030517578,31.78499984741211,32.27000045776367,31823600.0,31.837671279907227,0.433,0.0
3M,USD,1056222836.0,6619000.0,1097729000.0,639227000.0,994715000.0,43946724000.0,1056705763.0,19536000.0,2362176000.0,-46794.070132,-7434000.0,6,2025,VICI,32.380001068115234,32.95000076293945,31.979999542236328,32.279998779296875,26986300.0,32.279998779296875,0.0,0.0
3M,USD,187496000.0,7014000.0,55155000.0,60255000.0,101383000.0,4944734000.0,188507000.0,0.0,-467922000.0,290220.0,1382000.0,9,2024,BNL,18.15999984741211,18.71500015258789,18.010000228881836,18.25,3649300.0,17.029294967651367,0.0,0.0
3M,USD,187496000.0,7014000.0,55155000.0,60255000.0,101383000.0,4944734000.0,188507000.0,0.0,-467922000.0,290220.0,1382000.0,9,2024,BNL,18.219999313354492,18.65999984741211,18.100000381469727,18.639999389648438,5294100.0,17.393207550048828,0.0,0.0
3M,USD,187496000.0,7014000.0,55155000.0,60255000.0,101383000.0,4944734000.0,188507000.0,0.0,-467922000.0,290220.0,1382000.0,9,2024,BNL,18.809999465942383,19.100000381469727,18.530000686645508,18.729999542236328,7138900.0,17.47718620300293,0.0,0.0
