periodType,currencyCode,AccountsReceivable,BasicEPS,CashAndCashEquivalents,EBIT,EnterpriseValue,FreeCashFlow,GrossProfit,InvestedCapital,LongTermDebt,MarketCap,NetIncomeFromContinuingOperations,RetainedEarnings,TotalLiabilitiesNetMinorityInterest,year,symbol,open,high,low,close,volume,adjclose,dividends,splits
3M,USD,7860000.0,0.57,485318000.0,806247000.0,48181000153.0,541329000.0,944970000.0,42126563000.0,16711739000.0,31075052153.0,599803000.0,1122878000.0,18339315000.0,2024,VICI,31.790000915527344,32.68000030517578,29.8799991607666,30.1200008392334,124928800,28.09090805053711,0.0,0.0
3M,USD,7860000.0,0.57,485318000.0,806247000.0,48181000153.0,541329000.0,944970000.0,42126563000.0,16711739000.0,31075052153.0,599803000.0,1122878000.0,18339315000.0,2024,VICI,30.110000610351562,31.06999969482422,28.915000915527344,29.93000030517578,126075900,27.913705825805664,0.0,0.0
3M,USD,7860000.0,0.57,485318000.0,806247000.0,48181000153.0,541329000.0,944970000.0,42126563000.0,16711739000.0,31075052153.0,599803000.0,1122878000.0,18339315000.0,2024,VICI,29.809999465942383,29.940000534057617,28.260000228881836,29.790000915527344,132942700,27.783138275146484,0.415,0.0
3M,USD,7860000.0,0.57,485318000.0,806247000.0,48181000153.0,541329000.0,944970000.0,42126563000.0,16711739000.0,31075052153.0,599803000.0,1122878000.0,18339315000.0,2024,VICI,29.889999389648438,29.959999084472656,27.075000762939453,28.549999237060547,130795300,27.01364517211914,0.0,0.0
3M,USD,7860000.0,0.57,485318000.0,806247000.0,48181000153.0,541329000.0,944970000.0,42126563000.0,16711739000.0,31075052153.0,599803000.0,1122878000.0,18339315000.0,2024,VICI,28.440000534057617,30.610000610351562,27.829999923706055,28.709999084472656,150253900,27.165037155151367,0.0,0.0
3M,USD,7860000.0,0.57,485318000.0,806247000.0,48181000153.0,541329000.0,944970000.0,42126563000.0,16711739000.0,31075052153.0,599803000.0,1122878000.0,18339315000.0,2024,VICI,28.75,29.06999969482422,27.700000762939453,28.639999389648438,114470100,27.09880256652832,0.415,0.0
3M,USD,7860000.0,0.57,485318000.0,806247000.0,48181000153.0,541329000.0,944970000.0,42126563000.0,16711739000.0,31075052153.0,599803000.0,1122878000.0,18339315000.0,2024,VICI,28.59000015258789,31.795000076293945,27.530000686645508,31.260000228881836,132289400,30.019594192504883,0.0,0.0
3M,USD,7860000.0,0.57,485318000.0,806247000.0,48181000153.0,541329000.0,944970000.0,42126563000.0,16711739000.0,31075052153.0,599803000.0,1122878000.0,18339315000.0,2024,VICI,32.029998779296875,33.5099983215332,30.600000381469727,33.47999954223633,97041500,32.15150451660156,0.0,0.0
3M,USD,7860000.0,0.57,485318000.0,806247000.0,48181000153.0,541329000.0,944970000.0,42126563000.0,16711739000.0,31075052153.0,599803000.0,1122878000.0,18339315000.0,2024,VICI,33.36000061035156,34.290000915527344,32.4900016784668,33.310001373291016,109849700,31.988248825073242,0.433,0.0
3M,USD,7860000.0,0.57,485318000.0,806247000.0,48181000153.0,541329000.0,944970000.0,42126563000.0,16711739000.0,31075052153.0,599803000.0,1122878000.0,18339315000.0,2024,VICI,33.400001525878906,33.45000076293945,31.75,31.760000228881836,85355500,30.896617889404297,0.0,0.0
3M,USD,7860000.0,0.57,485318000.0,806247000.0,48181000153.0,541329000.0,944970000.0,42126563000.0,16711739000.0,31075052153.0,599803000.0,1122878000.0,18339315000.0,2024,VICI,31.8700008392334,33.040000915527344,30.649999618530273,32.61000061035156,100796300,31.723508834838867,0.0,0.0
