periodType,currencyCode,AccountsReceivable,BasicEPS,CashAndCashEquivalents,EBIT,EnterpriseValue,FreeCashFlow,GrossProfit,InvestedCapital,LongTermDebt,MarketCap,NetIncomeFromContinuingOperations,RetainedEarnings,TotalLiabilitiesNetMinorityInterest,month,year,symbol,open,high,low,close,volume,adjclose,dividends,splits
3M,USD,7860000.0,0.57,485318000.0,806247000.0,48181000153.0,541329000.0,944970000.0,42126563000.0,16711739000.0,31075052153.0,599803000.0,1122878000.0,18339315000.0,3,2024,VICI,29.809999465942383,29.940000534057617,28.260000228881836,29.790000915527344,132942700,27.783140182495117,0.415,0.0
3M,USD,6287000.0,0.71,347160000.0,961764000.0,46976115766.0,611944000.0,950190000.0,42446257000.0,16727361000.0,29876720766.0,752753000.0,1431264000.0,18384937000.0,6,2024,VICI,28.75,29.06999969482422,27.700000762939453,28.639999389648438,114470100,27.09880256652832,0.415,0.0
3M,USD,8246000.0,0.7,355667000.0,954259000.0,52168594342.0,577686000.0,957845000.0,42854878000.0,16743584000.0,34881315342.0,744481000.0,1711277000.0,18395034000.0,9,2024,VICI,33.36000061035156,34.290000915527344,32.4900016784668,33.310001373291016,109849700,31.988250732421875,0.433,0.0
3M,USD,5066000.0,0.58,524615000.0,834773000.0,48148437868.0,643013000.0,969305000.0,43270844000.0,16732889000.0,30856470868.0,624205000.0,1867400000.0,18417139000.0,12,2024,VICI,32.59000015258789,32.599998474121094,28.219999313354492,29.209999084472656,112296900,28.415937423706055,0.433,0.0
3M,USD,5865000.0,0.0,334317000.0,759060000.0,51595107115.0,591703000.0,977852000.0,43456170000.0,16847001000.0,34469637115.0,552265000.0,1954124000.0,18503399000.0,3,2025,VICI,32.4900016784668,34.029998779296875,31.40999984741211,32.619998931884766,176278300,32.18378829956055,0.433,0.0
3M,USD,0.0,0.65,1085967000.0,214380000.0,19142549175.0,221048000.0,343172000.0,16735327000.0,8102448000.0,12046300175.0,142854000.0,-2975236000.0,9129786000.0,6,2024,WPC,56.7599983215332,57.91999816894531,54.4900016784668,55.04999923706055,28744900,51.8261833190918,0.87,0.0
3M,USD,0.0,0.51,818194000.0,193222000.0,20650650034.0,280170000.0,355288000.0,16552279000.0,7972821000.0,13634169034.0,111652000.0,-3056708000.0,9045630000.0,9,2024,WPC,59.86000061035156,64.26000213623047,59.72999954223633,62.29999923706055,20750600,59.58310317993164,0.875,0.0
3M,USD,0.0,0.21,640373000.0,125693000.0,19077512021.0,296347000.0,361338000.0,16468697000.0,8039002000.0,11922885021.0,47038000.0,-3203974000.0,9100900000.0,12,2024,WPC,57.0,57.400001525878906,53.40999984741211,54.47999954223633,26873000,52.84107971191406,0.88,0.0
3M,USD,0.0,0.57,187809000.0,206252000.0,21218188456.0,273213000.0,364516000.0,16228665000.0,7866302000.0,13819559456.0,125816000.0,-3276497000.0,8940382000.0,3,2025,WPC,64.20999908447266,66.0999984741211,60.650001525878906,63.11000061035156,31928400,62.21418380737305,0.0,0.0
3M,USD,2604000.0,0.19,18282000.0,54225000.0,4713692338.0,74000000.0,100604000.0,4954129000.0,1820231000.0,2990384338.0,35937000.0,-449893000.0,2067147000.0,6,2024,BNL,15.449999809265137,16.110000610351562,14.930000305175781,15.869999885559082,23978900,14.801969528198242,0.29,0.0
3M,USD,2124000.0,0.19,8999000.0,55155000.0,5506376650.0,60255000.0,101383000.0,4944734000.0,1820178000.0,3572207650.0,37268000.0,-467922000.0,2124927000.0,9,2024,BNL,18.15999984741211,19.149999618530273,18.010000228881836,18.950000762939453,22255100,18.005592346191406,0.29,0.0
3M,USD,3281000.0,0.14,14845000.0,47698000.0,4979030360.0,57468000.0,105365000.0,4916870000.0,1913125000.0,2991608360.0,27607000.0,-496543000.0,2074993000.0,12,2024,BNL,17.40999984741211,17.510000228881836,15.34000015258789,15.859999656677246,24304100,15.305176734924316,0.29,0.0
3M,USD,2581000.0,0.09,9605000.0,37922000.0,5119710982.0,57111000.0,103202000.0,4939873000.0,1816017000.0,3221430982.0,17493000.0,-536074000.0,2156372000.0,3,2025,BNL,17.0,17.364999771118164,16.510000228881836,17.040000915527344,32811000,16.748804092407227,0.0,0.0
3M,USD,297403000.0,0.03,333573000.0,34688000.0,3585151266.0,70926000.0,93116000.0,3235048000.0,1850423000.0,1662786266.0,10215000.0,-83212000.0,2465853000.0,3,2024,ESRT,9.949999809265137,10.25,9.529999732971191,10.130000114440918,19497000,9.948334693908691,0.035,0.0
3M,USD,277605000.0,0.1,535533000.0,55256000.0,3481612380.0,37124000.0,104854000.0,3474705000.0,2074846000.0,1547881380.0,28555000.0,-71928000.0,2682034000.0,6,2024,ESRT,9.579999923706055,9.819999694824219,8.920000076293945,9.380000114440918,16977400,9.244565963745117,0.035,0.0
3M,USD,278516000.0,0.08,421896000.0,53568000.0,3800893396.0,102810000.0,109617000.0,3471338000.0,2067567000.0,1844682396.0,22796000.0,-64211000.0,2679616000.0,9,2024,ESRT,10.65999984741211,11.430000305175781,9.970000267028809,11.079999923706055,27923400,10.960832595825195,0.035,0.0
3M,USD,31427000.0,0.0,385465000.0,49245000.0,3819916054.0,50032000.0,106175000.0,3486331000.0,1889237000.0,1727393054.0,18793000.0,-58888000.0,2728325000.0,12,2024,ESRT,10.979999542236328,11.430000305175781,9.9399995803833,10.319999694824219,22941400,10.242826461791992,0.035,0.0
3M,USD,29071000.0,0.06,187823000.0,42744000.0,3412671412.0,83146000.0,91507000.0,3089895000.0,1789028000.0,1314304412.0,15778000.0,-55548000.0,2328505000.0,3,2025,ESRT,9.220000267028809,9.279999732971191,7.75,7.820000171661377,29598100,7.785787582397461,0.035,0.0
3M,USD,0.0,-0.2,122181000.0,53901000.0,6834531606.0,59856000.0,167753000.0,7321027000.0,3164631000.0,1693320606.0,-35664000.0,-1929107000.0,5189449000.0,6,2024,GNL,7.539999961853027,7.690000057220459,6.989999771118164,7.349999904632568,30317000,6.405653476715088,0.0,0.0
3M,USD,0.0,-0.33,127249000.0,12840000.0,6860758227.0,47822000.0,163049000.0,7030615000.0,3174369000.0,1943489227.0,-65635000.0,-2069400000.0,5060668000.0,9,2024,GNL,8.520000457763672,9.104999542236328,8.34000015258789,8.420000076293945,28177800,7.614805221557617,0.0,0.0
3M,USD,0.0,-0.08,159698000.0,71674000.0,6448220314.0,61954000.0,163496000.0,6704817000.0,3127807000.0,1686673314.0,-6522000.0,-2150342000.0,4768806000.0,12,2024,GNL,7.400000095367432,7.420000076293945,7.0,7.300000190734863,33232500,6.825634002685547,0.0,0.0
3M,USD,108729000.0,-0.87,147047000.0,-38451000.0,6322766054.0,49411000.0,118462000.0,5148250000.0,2685532000.0,1838992054.0,-189379000.0,-2414684000.0,3873782000.0,3,2025,GNL,8.0,8.321000099182129,7.769999980926514,8.039999961853027,36610700,7.8195672035217285,0.0,0.0
3M,USD,7557000.0,0.2,114880000.0,31784000.0,2977167961.0,43605000.0,70542000.0,2883222000.0,1690973000.0,1362800961.0,15294000.0,-289486000.0,1847276000.0,6,2024,AAT,21.899999618530273,22.450000762939453,20.860000610351562,22.3799991607666,6662400,20.816925048828125,0.335,0.0
3M,USD,8809000.0,0.28,533004000.0,39782000.0,3225366297.0,27969000.0,80405000.0,3296180000.0,2109579000.0,1627290297.0,21318000.0,-293037000.0,2258357000.0,9,2024,AAT,27.059999465942383,27.790000915527344,25.18000030517578,26.719999313354492,5831600,25.241159439086914,0.335,0.0
3M,USD,6905000.0,0.15,425659000.0,35527000.0,3203378129.0,21488000.0,69572000.0,3186416000.0,2010515000.0,1605490129.0,11584000.0,-304339000.0,2149044000.0,12,2024,AAT,28.5,28.8799991607666,25.3700008392334,26.260000228881836,6774800,25.121816635131836,0.335,0.0
3M,USD,7104000.0,0.7,143915000.0,73304000.0,2836747462.0,20424000.0,67302000.0,2884461000.0,1686081000.0,1231253462.0,54107000.0,-282387000.0,1815428000.0,3,2025,AAT,22.540000915527344,22.790000915527344,19.559999465942383,20.139999389648438,9606600,19.496484756469727,0.34,0.0
3M,USD,0.0,0.0,122181000.0,53901000.0,0.0,59856000.0,167753000.0,7321027000.0,3164631000.0,0.0,-35664000.0,-1929107000.0,5189449000.0,6,2024,GNL-PA,20.399999618530273,21.027999877929688,20.100000381469727,20.799999237060547,113560,19.17179298400879,0.0,0.0
3M,USD,0.0,0.0,127249000.0,12840000.0,0.0,47822000.0,163049000.0,7030615000.0,3174369000.0,0.0,-65635000.0,-2069400000.0,5060668000.0,9,2024,GNL-PA,22.229999542236328,22.978500366210938,22.010000228881836,22.950000762939453,533698,21.61572265625,0.0,0.0
3M,USD,0.0,0.0,159698000.0,71674000.0,0.0,61954000.0,163496000.0,6704817000.0,3127807000.0,0.0,-6522000.0,-2150342000.0,4768806000.0,12,2024,GNL-PA,23.389999389648438,23.5,21.66390037536621,22.940000534057617,249156,22.034826278686523,0.0,0.0
3M,USD,108729000.0,0.0,147047000.0,-38451000.0,0.0,49411000.0,118462000.0,5148250000.0,2685532000.0,0.0,-189379000.0,-2414684000.0,3873782000.0,3,2025,GNL-PA,22.239999771118164,23.299999237060547,22.209999084472656,22.350000381469727,248427,21.900894165039062,0.0,0.0
