periodType,currencyCode,BasicAverageShares,CostOfRevenue,EBIT,FreeCashFlow,GrossProfit,InvestedCapital,OrdinarySharesNumber,OtherOperatingExpenses,RetainedEarnings,TaxEffectOfUnusualItems,TotalUnusualItems,month,year,symbol,open,high,low,close,volume,adjclose,dividends,splits
3M,USD,1042404634.0,6511000.0,806247000.0,541329000.0,944970000.0,42126563000.0,1043137031.0,19312000.0,1122878000.0,-792.214379,-305000.0,3,2024,VICI,29.450000762939453,29.829999923706055,28.780000686645508,29.1200008392334,30622700.0,27.158273696899414,0.0,0.0
3M,USD,1042404634.0,6511000.0,806247000.0,541329000.0,944970000.0,42126563000.0,1043137031.0,19312000.0,1122878000.0,-792.214379,-305000.0,3,2024,VICI,29.049999237060547,29.795000076293945,28.600000381469727,28.93000030517578,43088900.0,26.981075286865234,0.0,0.0
3M,USD,1042404634.0,6511000.0,806247000.0,541329000.0,944970000.0,42126563000.0,1043137031.0,19312000.0,1122878000.0,-792.214379,-305000.0,3,2024,VICI,28.860000610351562,29.25,28.260000228881836,28.81999969482422,24663800.0,26.87848472595215,0.415,0.0
3M,USD,1042404634.0,6511000.0,806247000.0,541329000.0,944970000.0,42126563000.0,1043137031.0,19312000.0,1122878000.0,-792.214379,-305000.0,3,2024,VICI,28.940000534057617,29.940000534057617,28.764999389648438,29.790000915527344,22180600.0,28.186920166015625,0.0,0.0
3M,USD,1042650713.0,6813000.0,961764000.0,611944000.0,950190000.0,42446257000.0,1043171743.0,19323000.0,1431264000.0,-1107.963497,-259000.0,6,2024,VICI,28.75,29.06999969482422,28.06999969482422,28.3700008392334,28293600.0,26.84333610534668,0.0,0.0
3M,USD,1042650713.0,6813000.0,961764000.0,611944000.0,950190000.0,42446257000.0,1043171743.0,19323000.0,1431264000.0,-1107.963497,-259000.0,6,2024,VICI,28.239999771118164,28.985000610351562,27.790000915527344,28.290000915527344,25379100.0,26.767641067504883,0.0,0.0
3M,USD,1042650713.0,6813000.0,961764000.0,611944000.0,950190000.0,42446257000.0,1043171743.0,19323000.0,1431264000.0,-1107.963497,-259000.0,6,2024,VICI,28.170000076293945,28.389999389648438,27.84000015258789,28.100000381469727,31406400.0,26.58786392211914,0.415,0.0
3M,USD,1042650713.0,6813000.0,961764000.0,611944000.0,950190000.0,42446257000.0,1043171743.0,19323000.0,1431264000.0,-1107.963497,-259000.0,6,2024,VICI,28.15999984741211,28.700000762939453,27.700000762939453,28.639999389648438,29391000.0,27.503555297851562,0.0,0.0
3M,USD,1046626838.0,6824000.0,954259000.0,577686000.0,957845000.0,42854878000.0,1047172481.0,19315000.0,1711277000.0,-3835.109018,-1164000.0,9,2024,VICI,33.36000061035156,34.02000045776367,33.275001525878906,33.470001220703125,19857900.0,32.141902923583984,0.0,0.0
3M,USD,1046626838.0,6824000.0,954259000.0,577686000.0,957845000.0,42854878000.0,1047172481.0,19315000.0,1711277000.0,-3835.109018,-1164000.0,9,2024,VICI,33.529998779296875,34.16999816894531,33.18000030517578,33.959999084472656,26975400.0,32.612457275390625,0.0,0.0
3M,USD,1046626838.0,6824000.0,954259000.0,577686000.0,957845000.0,42854878000.0,1047172481.0,19315000.0,1711277000.0,-3835.109018,-1164000.0,9,2024,VICI,34.13999938964844,34.290000915527344,32.4900016784668,33.06999969482422,36674400.0,31.75777244567871,0.433,0.0
3M,USD,1046626838.0,6824000.0,954259000.0,577686000.0,957845000.0,42854878000.0,1047172481.0,19315000.0,1711277000.0,-3835.109018,-1164000.0,9,2024,VICI,33.2599983215332,33.474998474121094,32.7599983215332,33.119998931884766,18726400.0,32.21964645385742,0.0,0.0
3M,USD,1046626838.0,6824000.0,954259000.0,577686000.0,957845000.0,42854878000.0,1047172481.0,19315000.0,1711277000.0,-3835.109018,-1164000.0,9,2024,VICI,33.09000015258789,33.45000076293945,32.125,32.41999816894531,22350400.0,31.538671493530273,0.0,0.0
3M,USD,1054993118.0,6747000.0,834773000.0,643013000.0,969305000.0,43270844000.0,1056366685.0,19472000.0,1867400000.0,-11085.950416,-2839000.0,12,2024,VICI,32.59000015258789,32.599998474121094,31.424999237060547,31.649999618530273,22847800.0,30.78960609436035,0.0,0.0
3M,USD,1054993118.0,6747000.0,834773000.0,643013000.0,969305000.0,43270844000.0,1056366685.0,19472000.0,1867400000.0,-11085.950416,-2839000.0,12,2024,VICI,31.665000915527344,31.875,30.8799991607666,31.1299991607666,22090100.0,30.283742904663086,0.0,0.0
3M,USD,1054993118.0,6747000.0,834773000.0,643013000.0,969305000.0,43270844000.0,1056366685.0,19472000.0,1867400000.0,-11085.950416,-2839000.0,12,2024,VICI,31.100000381469727,31.364999771118164,28.219999313354492,28.790000915527344,42727500.0,28.007354736328125,0.433,0.0
3M,USD,1054993118.0,6747000.0,834773000.0,643013000.0,969305000.0,43270844000.0,1056366685.0,19472000.0,1867400000.0,-11085.950416,-2839000.0,12,2024,VICI,28.65999984741211,29.31999969482422,28.610000610351562,28.940000534057617,14741900.0,28.553001403808594,0.0,0.0
3M,USD,1054993118.0,6747000.0,834773000.0,643013000.0,969305000.0,43270844000.0,1056366685.0,19472000.0,1867400000.0,-11085.950416,-2839000.0,12,2024,VICI,28.8799991607666,29.565000534057617,28.55500030517578,29.459999084472656,21676000.0,29.0660457611084,0.0,0.0
3M,USD,0.0,6352000.0,759060000.0,591703000.0,977852000.0,43456170000.0,1056668054.0,19513000.0,1954124000.0,-18000.0,-45000.0,3,2025,VICI,32.4900016784668,32.939998626708984,31.770000457763672,32.650001525878906,41696400.0,32.2133903503418,0.0,0.0
3M,USD,0.0,6352000.0,759060000.0,591703000.0,977852000.0,43456170000.0,1056668054.0,19513000.0,1954124000.0,-18000.0,-45000.0,3,2025,VICI,32.75,34.029998779296875,31.489999771118164,32.25,53141400.0,31.818737030029297,0.0,0.0
